index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga,football,basketball,cricket,hockey,tennis,volleyball,baseball,rugby,golf,athletics,badminton,boxing,cycling,swimming,shooting,gymnastics,wrestling,skiing,bowling
Evan,-0.6117248802021538,-0.8121452591061196,-1.1152884273370207,-0.4290451131862453,-0.7940169642020973,-0.6556754270277354,-0.5540767092889329,-0.47829902121533935,-0.9617219514901326,-1.5641057720922216,-0.3636033495187323,-1.4876162615991613,-1.005143691228245,-1.603606406273532,-1.3450052768961747,-0.6688829051582178,-1.1899514060787746,-0.44820222590686976,-1.5510826518258778,-0.28899590649008183,-0.6145698079642042,-0.6380448984510567,-0.44102870514067216,-1.3525940686923146,-1.6897215319887764,-1.7018331395095085,-0.662061269810319,-0.04971345105663147,-0.3909991498519336,-1.2660845202490136,-0.8047316422596787,-0.01650012605860514,-0.8301040954488107,-0.05985238138162129,-1.1458547726960804,-0.8036310321306364,-1.0096964394790258,-0.8893759310232713,-0.7174309818070573,-0.6809091432079338,-0.8730674013734071,-1.3886527492840899,-1.7755444346247213,-0.9998684873387934,-1.443824570634556,-0.7549617862179598,-0.8038135425413877,-0.9684785487047595,-1.1322002877582773,-1.3168269218965418,-0.13445311647397024,-0.2997517849529784,-0.2094749530223175,-0.33186796464709567,-0.47732206043683606,-0.05216113995666451,-0.4586980786442543,-0.34203174753682974,-0.05072584295232802,-0.12440435499889899,-0.9391395592027961,-0.3463500678410321,-0.4082408373227204,0.058187755342606944,-0.5821050021272925,-0.18203152877182052,-0.36462573215749133,-0.1449392493746931,0.35741570410816575,2.275861070246475,0.43082934892226304,1.4266387024021483,2.2260827888923607,2.55154279431225,2.0208483171723715,2.120717007133994,1.139699010755667,2.3232049692388372,1.976028041301015
Gene,-0.10250460661587664,-0.030554896675737173,-0.8519336388114387,0.27059815252355196,0.10959291449099143,-0.20077134798206345,0.18597821183097654,0.0702821941027942,0.2803902850446628,-0.4831962713812673,-0.23827613050930693,-0.2661269343478549,-0.224104463219542,-0.6659307144246774,-0.4394917871529456,-0.10581473043263959,-0.1104058140341655,0.11198752396136187,-1.0009943084760027,-0.9491843761316169,-0.7666320492204434,-0.8124106252221125,-0.9005977687015229,-0.47724198940202417,-0.8248307041329183,-1.5433424583857775,-1.0723388243568583,-0.7859130810642074,-0.7680761608894392,-0.629033849093041,-0.8318453331152458,-0.06438758974606096,-0.317206641878762,-0.11592102350159525,-0.2176986373230919,-0.15587422473708545,-0.42320859860236326,-0.4900720836841724,-0.447250218795438,-0.21854231347942774,-0.25178653466721673,-0.6739087367544753,-0.4443908692538055,-0.5703201290362511,-0.8430942005147969,-0.6441710090051305,-0.443065026881203,-0.6587280743573468,-0.4800519744370486,-0.543026754875902,-0.2947802652606175,0.09678863086154034,-0.12211438741486053,0.04057713889424518,-0.2156428737795891,-0.04197767469058968,0.08050007207574239,-0.30991085749405234,0.14567952564803618,-0.0407824086792676,-1.3238100683290115,-0.3356516032917364,-0.6142258595524713,0.2599995269910837,-0.23530768609881042,-0.6464115518194363,0.4092840344037586,-0.16860918332032437,0.1449568919028651,1.3759638667477938,-0.2770878395705657,0.7958508185372416,1.9286196346854994,2.237452761009919,0.994310361647265,1.778955192669359,0.17168587407126487,1.5679717657282035,1.6373082113082413
Dillon,-0.6435511993036389,-0.4054666804322255,-1.3201352236252768,-0.01146833594689938,-0.474463077737023,0.1266741510687385,-0.3478746847707227,-0.16121045750750787,-0.4842633341072522,-0.5825252587256928,-0.7150672511664329,-0.190376543289657,-0.5403645380801457,-0.5087900821586739,-0.21299132289287023,-0.9607598636403683,-0.2172533498046797,0.06153961293606172,-1.2488686137727492,-0.28188758048870266,-0.644699992458802,-0.3101524260590801,-0.12608548005885425,-0.22577893852204323,-0.5765805492190598,-0.7459252255970841,-0.6997888642588883,-0.2760735023693468,-0.12720454662866346,-0.5434019954408625,-0.08538589001888883,0.3633978230072099,0.2386903231327902,0.26956456792220346,0.36638024839188615,0.14711371734954892,-0.33591571322759034,0.18598514301592745,0.24092118649486416,-0.2515976042306346,-0.20967888239410218,-0.16916199939424875,-0.2769606434494506,0.14298828563962065,-0.4783938469363962,-0.05189111632847909,-0.13746596435162464,0.199015434803163,0.03069544488417139,-0.18627427634778906,0.014848425417500857,-0.02339560245117799,-0.15108797273249502,-0.19910913444298808,-0.39475824160758055,-0.2432049459976082,-0.07585301334090419,-0.24685652190936358,-0.40941217144316366,-0.6283746726036447,-0.5575483002958533,-0.0026528447712904353,0.02504247247016202,0.1707883174971966,0.07871398879475935,-0.04414645995858562,0.2848562905165832,0.16270871678380994,0.78059414248348,2.2545876253563417,0.7034017430011963,1.6909977536313412,2.3322225564652537,2.439283972719066,1.9101999403698828,2.081148609946203,1.150403141174454,2.0213723199272517,2.2905784716500026
Marcia,0.3757539749864263,0.1713238356712469,-0.6369563798149979,0.2438969251160777,0.1369629981663702,0.571881761147013,0.342760626768093,0.25348433970043643,-0.11565526032272343,-0.21697692697629412,-0.42138519244469,0.3322712350249351,0.7090188583006776,0.27567994664359863,0.22114591446466944,0.1177471832005862,0.13162102283044902,-0.4318802817745253,-0.18807551892385493,0.19832826160176625,0.2887655010875776,0.7261324039625804,0.6155541266203581,-0.07804577816892715,0.7656917913789053,0.397262093838604,-0.24762403392908436,0.26161474893199715,0.7089166990719782,1.0901776995537824,0.6516605175947897,0.6833730580453314,0.2720855158810716,0.29369350371305897,0.38213026873303646,0.2332029175412887,0.2719207424406113,0.4880934035915449,0.35467838014606035,0.2223819917878458,0.30382093317312725,0.675964583435604,0.2276980031546712,0.23855990539074368,0.27490257890001063,0.03421354271050737,0.1391966397054449,-0.008955671430725913,0.24476264183335505,0.3674516202077507,0.4478757432517908,0.4463727358414506,0.4243510168935332,0.10200476595438379,0.3345204492176186,-0.055938859427600005,0.37509269346947727,-0.017913017301382343,-0.06690967394839102,-0.4733433925531233,-0.32512660757202133,0.21363546060277835,-0.0564459245490875,0.026855415869108955,0.5716060608890411,1.1563257484761322,0.10599616467381688,0.08699491129190404,0.6284624079606456,2.7847768109455915,1.1361878059441373,1.873953071752569,2.672500956871412,2.4539890524443173,1.8326642943462526,3.037496686242258,1.4343383603800621,2.465696292560025,2.22547945024237
Annette,-0.1290577779084301,-0.1428000404762545,-0.44440485639339217,0.09922561803876499,0.46043415628699924,0.4001468521453749,0.22624930001085636,0.29576370314121864,-0.21699148885840633,-0.31496381606675283,0.5274203044599677,-1.116169941360256,0.2259936361842643,-0.9088464434010006,-0.4881019501054027,-0.29677897949792664,0.3054494864884995,0.45407555572866776,-0.7193851775789867,-0.4824259867375578,-0.4634278422059008,0.290657290150105,0.10811260682037042,0.140015059910331,0.10382603264036128,-0.015331407117424338,-0.7166212070493513,0.000591791479754293,-0.19575044904553424,0.7960008555738969,0.1560238894981123,-0.11062805099521329,-0.43112017366858857,-0.09418479615736183,-0.05252339139417794,-0.0380074324500347,0.3708505506504974,0.2820681825953157,-0.08405798587684148,0.15764738179421467,-0.04508851270370295,-0.3991844288814922,-0.1394553103655421,-0.2672261333916538,-0.29321975222616126,-0.2058025714530294,-0.1375540072980622,-0.5420656985643759,-0.1956220647688524,-0.24064249104302363,-0.11531379551370914,0.1716635438494277,0.17846731091858228,-0.25446970543355774,0.3290914369205058,0.09024555355691728,0.049167796886699755,-0.17442205249888068,0.13519862356238072,0.0631665105991069,-1.2683232524141639,-0.41980384335992554,-0.669783847051958,-0.07840001340370215,-0.38195975735941945,0.4738553885512774,-0.094951230931949,-0.44652932777313337,0.4926950984519146,2.340399938156315,0.6167053185569147,1.5472894570400186,2.282538184717131,2.5089215143313233,1.6117903623689658,2.987539460286231,1.45610912572172,2.4414028411711794,2.4946876618283866
Gail,0.04738042265855702,0.017079779777747463,-0.5600897039246294,-0.12130714297494434,-0.3134577287598488,-0.024813100742834947,-0.05930262323158356,-0.22664606776612284,-0.24354559178333798,0.007239802979257733,-0.42284195768231486,0.16830134140433795,0.07386903226370573,0.07460501270336566,0.038349198648700705,0.23725923226868045,-0.23673671503469293,-0.32655427633325323,-0.17743718329099128,0.06021292263666511,0.048032477482509155,0.04404477677211023,0.22450237541206988,0.004882011169965168,-0.4049061838797495,-0.4636913501036131,-0.218343730946958,-0.25678039047703627,-0.38268942999983113,-0.19370659104869126,0.025460983799357,0.5158299805736913,0.13968142657743293,0.5232187829642584,0.2234890466343319,0.331568012635625,-0.015350279704325244,-0.08516718077646189,0.11081601642295297,-0.10920561857179518,0.0166620099708711,-0.11984254779481589,-0.28882725415204913,0.08140516438897419,-0.17311854634304527,-0.010955921551913841,-0.1654178580738805,-0.06437747299125085,-0.21744164297199695,-0.36755332506013877,0.4343827970073375,0.5209087583708416,0.5687660035598285,0.5251036795886208,0.4493995212235932,0.003176715626148637,0.497398157197164,0.15454056566450966,0.0996825548897271,0.048385698452252546,-0.46950687084840126,-0.223694089878586,0.25993619293214204,0.6101582092230701,0.30770511329017064,0.26776270771642086,0.3587870475812576,0.2172832116039215,0.7892468802703797,1.03974278893167,0.6753036912162714,1.2730424010631458,2.3102982477348726,2.2106017499479043,1.5617341840327974,1.6917191590619567,0.08845463347859951,1.870589359730237,2.096927694149074
Courtney,-0.010571398038589978,-0.03142856709982791,-0.40773953912732797,-0.16703185147396787,0.073382573400037,-0.09531836108483678,0.11077114581658759,0.18264629698592488,0.33039975842627695,-0.22467136272548485,-0.984994708298179,-0.24300069991112105,-0.04207589594633723,0.08841014958512945,-0.06540579532946214,-1.0282477417212295,-0.4447754604422596,-0.4462593445389871,-0.468868080201794,-0.07731815163674462,-0.6134284583585321,-1.0571805246060606,-0.08174132561632998,-0.6122852545751128,-0.6136831691630338,-0.483302273652217,-1.1159704080776722,-1.216163385527129,-0.7931864705418235,-0.8670976817367694,-0.5952627790865425,0.28886061754930203,-0.014054956375413919,0.12667427089199632,0.03228740795807094,0.3009471056943457,-0.30047646855395144,0.29978475332408594,0.2304645452906946,0.3003577424979962,0.1530209939252312,-0.6008590950940507,-0.5427329569346169,0.08690197874817937,-0.2745885089529473,-0.13231282609108827,0.29651377158388487,-0.23779364870690317,-0.6193863967784163,-0.5248078321560817,0.059727751651362196,0.3180470961951909,0.016572940832778032,0.2593781547896277,-0.1613986938183292,0.3781993933899028,0.10950238220906501,0.0012683673434643952,0.4261182277560341,-0.3362533772930496,-1.5108986580045605,-0.9701761925997231,-0.7158440983769419,-0.5355175963312612,-0.7192070547831865,-1.1085938781800584,-0.36879322783315616,-0.9702847386779038,0.22184367493437787,1.6976686797946623,-0.8295571548548417,1.228697413505127,2.328884702703774,1.9129252858033425,1.6408489540773374,1.3010433343623764,0.4245844172541101,1.8028328088956587,1.908081950448285
Ruby,-0.23804475843347186,-0.14157909659458168,0.8194920472210954,-0.1155953209703682,-0.49507057083547074,-0.45809460481233316,0.010203983949998408,-0.8365401335313442,0.6838374375356665,-0.48850124604402634,-0.24582020804065033,-0.31310997895385984,-0.5797634683366928,-0.36482649724951227,-0.6879118825292534,-1.4819276861801536,-0.8803494174211139,-1.0037259596218877,-0.7595609587487114,-0.7842271349767024,-1.022074612316457,-1.6170497153165677,-1.8217438903452758,-1.6552316047470723,-1.7606554163766177,-1.61340086697322,-1.0073391223164117,-1.3336760715326121,-1.15160155437893,-1.8295689988153148,-1.8205229974254717,-1.2555888614309652,-0.48432906705666584,-1.3227355947320791,-0.8655182292061427,-0.7240194162906906,-0.8499742083034786,-1.1681703842720297,-0.798397197386314,-0.8277235083622287,-0.5705063870595749,-1.371471751673465,-1.6539086108867553,-1.1014509507231764,-0.8599143569068276,-1.2702121338969583,-1.0054179913395738,-0.7821580927946814,-1.3560009295105426,-1.1917954350596063,-1.0580456312767583,-0.32168618563720486,-1.2333026213811062,-0.5884747417481705,-0.7898854118818832,-0.3399331982793711,-1.05121195065396,-0.5085069680178694,-0.13797845125083202,-0.6554269080388765,-0.8845310150732493,0.22338667014559208,0.34804606804059074,-0.2501465128963913,0.2506192023663537,-0.09194640264038774,-0.10202790695761635,0.02165216797897936,-0.09370918941171716,0.9214843648450615,0.4553114480352406,1.001841621910582,1.5594390020297864,2.291259739786536,1.0822562873680217,1.6485509101620877,0.9618096450856335,0.9710778709102108,1.1909675968088245
Jessie,0.1746735746989675,-0.0329030119903007,-0.7319073074378597,0.15581755431185562,0.10673161807260091,0.5953620256655454,0.5224648143076979,0.28854190782547184,0.05994277658922864,-0.7324396707618346,0.022745744078527683,-0.06811982387269726,-0.08188403365585524,-0.4284378849174959,-0.10786308279923255,0.21796710492871496,0.0695297828173611,-0.30222389103724,-1.0480682850518088,-1.2457627008602647,-0.8479683905398504,-0.29862820849517235,-0.10482202816975862,-0.4554538973403435,-0.7828858588160308,-0.6927142005463836,-0.7303995035685423,-0.08793673082569248,-0.7843871743418933,-0.2764742849687168,-0.704487290762125,-0.06100142199085302,-0.0838397930175733,-0.08857967419345203,-0.20105093428874246,-0.3151685937895538,-0.5870409206054961,-0.41107706919040865,-0.21846451064542557,-0.37092961310457884,-0.29704356804830384,0.04189409351673259,0.018695412798571585,-0.07942063561924417,-0.3846333510122873,0.04842273598197452,-0.04104795905954165,0.05166410695151248,0.02852832943125409,-0.05783579041502203,0.07615691883570876,0.25072550515586917,0.22716346034671392,-0.07666863401549426,0.12242068111748595,-0.1815375860389598,0.3472957717189509,0.02933272940917702,-0.1435150194027244,0.26942442297791125,-0.20319809543269415,0.7605082333697077,0.629253612606905,1.014282801418453,1.0428801041684146,1.4027316071579556,0.8010842774879392,0.624659358949011,1.2707164033631686,2.9664768216231505,1.6830912389004955,2.2240939437659293,2.812587900078072,3.1611453789039943,1.9796563733244064,3.410970757211188,1.6097053032286657,2.8886873077365625,3.010101179588838
Victoria,0.0042297288654902674,-0.1947014170577232,-0.41268661567337545,-0.12433535933752422,-0.046141951344980954,-0.12098748025609983,0.16790370077833366,-0.10669906361451956,0.2909361490668993,-0.5456669617944467,-0.5675793841627345,-0.30852863496683536,-0.26401321979856185,-0.2170394740588393,-0.4919520392932807,-0.409830888674277,-0.41486042183299154,-1.1276194066135616,-1.306107126110918,-0.30935629960553424,-0.44746503164394325,-0.7850080252581563,-0.07030334253473304,-0.9731349832052633,-0.8854802105014808,-0.4153528745470491,-0.6218764326210305,-1.2520139792911393,-0.424282559486133,-1.0865895282032216,-0.5411698827340236,-0.565213888654873,-0.1288785777109667,-0.34646100122323625,-0.4661089392395492,-0.4584899247476,-0.495786828586107,-0.5167399033418641,-0.4014839359342908,-0.5661583943459184,-0.44007798924855795,-0.520471516791256,-0.2012626144643824,-0.14042001380274827,-0.20541898638420844,0.03372030306159127,-0.04449301248176237,-0.15013287459362776,-0.43339732053153923,-0.16449737095781466,0.10414824683371988,0.18829291855006836,0.188715547770349,0.26878674214975806,-0.13533615730963255,0.29052094656355826,-0.20504896642982293,0.07429037396575675,0.09123950742604768,0.1013214969362097,-0.8608973830410633,-0.61028371623807,-0.051047102428814606,0.06547533777182708,0.3655615611290866,0.23108755501334846,-0.214531188322347,0.03852636783888263,0.017518671715189615,2.458119079008865,0.8229161804708244,1.4955175124748021,2.452847114932081,2.8208902863063643,1.1598284310567422,2.922783704600341,1.4319473463089787,2.3211499122272743,1.783528563053727
