,occupation,gender,direct_correlation,indirect_correlation,same_correlation
0,accountant,male,1.5989441647275517,0.2175514667364193,True
1,accountant,female,1.0943063133269193,0.06707841341160922,True
2,accountant,boy,2.0751600096690863,0.18333238641991031,True
3,accountant,girl,1.4787752387996216,0.028461174935399142,True
4,accountant,man,3.2944040461621893,0.2227293414435196,True
5,accountant,woman,2.9172835747100225,0.13452301873246392,True
6,air traffic controller,male,1.962581303306021,0.031659034662522394,True
7,air traffic controller,female,1.4211795053538316,-0.10124142959074704,False
8,air traffic controller,boy,0.7787072914420918,0.012704705487520741,True
9,air traffic controller,girl,0.34587562246046377,-0.15643750442142346,False
10,air traffic controller,man,2.9785850592405487,0.052220340595920026,True
11,air traffic controller,woman,2.4478102799619093,-0.08597555007986975,False
12,architect,male,2.1823584819348434,0.19573070455724456,True
13,architect,female,1.5968212585069943,0.07696039431921897,True
14,architect,boy,2.5165743803112233,0.1446248958980936,True
15,architect,girl,1.4088517105411664,0.03996712790710457,True
16,architect,man,3.5784843014279417,0.2017336771897758,True
17,architect,woman,3.677048167300492,0.15328156473347526,True
18,artist,male,2.8337090527090782,0.0007266599692551363,True
19,artist,female,2.6939081996498535,0.15148440399490254,True
20,artist,boy,1.28717964905611,-0.09793213807846554,False
21,artist,girl,1.2981288945034788,0.13481165463059624,True
22,artist,man,1.969824938959203,-0.10600623687479667,False
23,artist,woman,3.3918646782758217,0.13693454593351276,True
24,attorney,male,1.7878307081634122,0.081752463030578,True
25,attorney,female,1.2624554165853652,-0.0441581706388086,False
26,attorney,boy,1.1192053790827128,0.08871948190822004,True
27,attorney,girl,1.0346837902979795,-0.06518188652465805,False
28,attorney,man,2.68352653247586,0.1461540094022699,True
29,attorney,woman,3.204250820769964,0.016260254218669768,True
30,baker,male,1.3744357898667785,0.20094484823456374,True
31,baker,female,0.7614499001068583,0.4029808472258372,True
32,baker,boy,2.5537940728787287,0.08951632916051143,True
33,baker,girl,1.6668557049726076,0.4114786231640456,True
34,baker,man,3.6003336305360625,0.04136139657769245,True
35,baker,woman,3.3473294099498765,0.408201995310631,True
36,banker,male,0.872038064667539,0.13918586773242528,True
37,banker,female,-0.2164223436615878,-0.017028241644430953,True
38,banker,boy,2.38994536504654,0.1743650372557152,True
39,banker,girl,1.2254613800859844,-0.02091531218061457,False
40,banker,man,3.5387204617903127,0.21599306845479,True
41,banker,woman,2.111227638643391,0.06405534393538137,True
42,bartender,male,2.890905483520422,0.08017122315994986,True
43,bartender,female,3.139844695323671,0.003992095249281491,True
44,bartender,boy,3.362037964280232,0.15926617585025776,True
45,bartender,girl,3.6055711378318565,0.043045006974001904,True
46,bartender,man,3.0897234698733733,0.10663370872966788,True
47,bartender,woman,4.090683075319038,0.01887544824635407,True
48,barber,male,2.2499450796348284,0.23910163747666704,True
49,barber,female,1.3504314616887978,0.12374621931733455,True
50,barber,boy,3.0221181589482926,0.2222385454432652,True
51,barber,girl,1.9602491647542712,0.11413524849284327,True
52,barber,man,3.7687474488621278,0.2602894511661343,True
53,barber,woman,3.3661353476682763,0.1989017929640227,True
54,barman,male,1.881893611528576,0.1908094797877032,True
55,barman,female,0.9808324711260789,-0.06840351627218139,False
56,barman,boy,2.671777481661794,0.2781637851040211,True
57,barman,girl,1.5416332734184228,-0.05844592657401136,False
58,barman,man,3.1430479916273732,0.2978680197030949,True
59,barman,woman,2.7432146398530506,0.016404311930962836,True
60,barmaid,male,1.7647615500532865,0.06579608627457767,True
61,barmaid,female,4.3638911425247855,0.40937479316200304,True
62,barmaid,boy,2.36796898278374,-0.01151750204851372,False
63,barmaid,girl,5.451979740671635,0.4528382613586033,True
64,barmaid,man,1.8754010234570189,-0.08946460462634648,False
65,barmaid,woman,6.265299097485777,0.3938991057855121,True
66,bookkeeper,male,3.0559318915151903,0.07938467370236027,True
67,bookkeeper,female,3.4624824430174166,0.361819056457991,True
68,bookkeeper,boy,3.183658773905448,-0.08815978897592938,False
69,bookkeeper,girl,3.4566605413717317,0.3276139503605863,True
70,bookkeeper,man,3.4103678128239365,-0.11121052332461126,False
71,bookkeeper,woman,5.148975691337614,0.3354018472483726,True
72,broadcaster,male,-0.1040083334524068,0.08787890719634836,False
73,broadcaster,female,0.03809263310470744,-0.12342670107183175,False
74,broadcaster,boy,-0.4957842053982313,0.04935704080698144,False
75,broadcaster,girl,-0.3043636699604078,-0.19273597282298846,True
76,broadcaster,man,-0.11328316577484368,0.11950083956067373,False
77,broadcaster,woman,0.4883679028366869,-0.07320082794739857,False
78,builder,male,1.7663644723752985,0.2359820985583824,True
79,builder,female,0.4143502881030349,0.028196621489592913,True
80,builder,boy,1.707701238638245,0.2634455345893008,True
81,builder,girl,0.32555089528247383,0.026719107396147,True
82,builder,man,3.4348676092417416,0.30553541797229394,True
83,builder,woman,2.4284865842120777,0.11915247876099995,True
84,businessperson,male,1.4220681730250146,0.18528526445986526,True
85,businessperson,female,1.0320713888896498,-0.011146109787039508,False
86,businessperson,boy,0.4489513740598438,0.16608096577638098,True
87,businessperson,girl,0.8872130666263028,-0.052729403089680944,False
88,businessperson,man,2.154550808929228,0.2216692521647033,True
89,businessperson,woman,2.4936115444969498,0.05749963284698136,True
90,businessman,male,1.0433538172099042,0.19456669022423628,True
91,businessman,female,0.010078630519782751,-0.04285546520252393,False
92,businessman,boy,2.032094607866996,0.2046171438041173,True
93,businessman,girl,0.9073379896885344,-0.07293417614500362,False
94,businessman,man,3.3233489666571714,0.2797590862593483,True
95,businessman,woman,2.357386851594033,0.060080027557056465,True
96,businesswoman,male,1.5550169378156735,0.06847846938510882,True
97,businesswoman,female,3.8216077901363072,0.4506243157053253,True
98,businesswoman,boy,1.1692256126597451,-0.1030008380193818,False
99,businesswoman,girl,4.58348587913766,0.4441993955086591,True
100,businesswoman,man,2.0463983951099127,-0.1365556799342482,False
101,businesswoman,woman,6.1504585285291125,0.4282322337174095,True
102,butcher,male,1.3577900845249222,0.19474124455780867,True
103,butcher,female,0.6371687374167491,0.11107382791862302,True
104,butcher,boy,2.4265704303725597,0.21167196626731088,True
105,butcher,girl,1.4442034786114346,0.12383852146529772,True
106,butcher,man,3.1427787478728297,0.2266883178665564,True
107,butcher,woman,2.6224855735311725,0.1846301338960616,True
108,captain,male,2.0103824691066183,-0.004767919693513078,False
109,captain,female,1.825191540941168,-0.23374927074350146,False
110,captain,boy,3.3593774192194803,0.13204098768318384,True
111,captain,girl,2.174297297589467,-0.212518618438036,False
112,captain,man,3.08948787652034,0.150617371627539,True
113,captain,woman,3.125741771981178,-0.17328394297678962,False
114,carpenter,male,0.9050204272632496,0.2802362949103793,True
115,carpenter,female,-0.08103651155101166,0.09487500960532916,False
116,carpenter,boy,2.7505771224387945,0.3315412068450153,True
117,carpenter,girl,1.0473288723301069,0.11619533809318583,True
118,carpenter,man,3.3399121976167474,0.3518384925534051,True
119,carpenter,woman,2.3484782800074515,0.198406336812585,True
120,cashier,male,3.235602793699687,0.05994721357777427,True
121,cashier,female,3.77560198117442,0.13295142896888995,True
122,cashier,boy,1.9039486727953072,0.07094899916234637,True
123,cashier,girl,3.1935823730656714,0.16129864962954407,True
124,cashier,man,3.109014224420306,0.046625068422696085,True
125,cashier,woman,4.887148244059984,0.16519369228362546,True
126,chef,male,1.6751395405383742,0.15709107321052804,True
127,chef,female,1.9168531047308708,0.19561930074487446,True
128,chef,boy,2.0866902199962767,0.10244713429600646,True
129,chef,girl,1.896984081862976,0.19620301074400107,True
130,chef,man,2.383459777469275,0.06056909410285804,True
131,chef,woman,3.1818227799480714,0.20179439686390327,True
132,coach,male,1.6910821623574115,0.16087440532435654,True
133,coach,female,1.8607909605236248,-0.08875028539305342,False
134,coach,boy,2.2726411789872865,0.2085050031738248,True
135,coach,girl,1.9950043990602624,-0.09696071800839012,False
136,coach,man,2.2962855196368563,0.2455728078796158,True
137,coach,woman,2.4693408399838805,-0.01919892107595981,False
138,cook,male,2.324396914040276,0.16951044360558815,True
139,cook,female,3.5262377225719317,0.4459883860340601,True
140,cook,boy,2.796664661998735,0.05561733111314773,True
141,cook,girl,3.719879815680364,0.4649935686556027,True
142,cook,man,2.865780551564292,-0.005226432755340986,False
143,cook,woman,5.200952410643213,0.4445198291589521,True
144,computer programmer,male,2.3671999623966418,0.014367589950306613,True
145,computer programmer,female,1.4309742768424203,-0.07148989501476857,False
146,computer programmer,boy,2.3421180219746303,-0.032519668186730924,False
147,computer programmer,girl,1.4492343892857922,-0.12147875040651035,False
148,computer programmer,man,3.7568473176204016,-0.007676380301513601,False
149,computer programmer,woman,3.1161794313011524,-0.07110745333763413,False
150,dancer,male,3.894640870749011,0.0094361089873088,True
