index,accountant,air traffic controller,architect,artist,attorney,baker,banker,bartender,barber,barman,barmaid,bookkeeper,broadcaster,builder,businessperson,businessman,businesswoman,butcher,captain,carpenter,cashier,chef,coach,cook,computer programmer,dancer,dental hygienist,denstist,designer,developper,dietician,doctor,economist,editor,electrician,engineer,farmer,filmmaker,financier,fireman,fisherman,flight attendant,gardener,guidance counselor,hairdresser,homemaker,housekeeper,interior designer,jeweler,journalist,judge,lawyer,librarian,maestro,magician,mason,mechanic,musician,nanny,nurse,nutritionist,optician,painter,pharmacist,philosopher,photographer,physiscian,physician's assistant,pilot,plumber,police officer,policeman,politician,postman,professor,programmer,psychologist,receiptionist,salesperson,scientist,scholar,secretary,server,singer,skipper,soldier,socialite,stylist,surgeon,teacher,therapist,translator,undertaker,veterinarian,videographer,waiter,waitress,warrior,writer,Nigeria,Ethiopia,Egypt,Congo,Tanzania,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,Mexico,Canada,Guatemala,Haiti,Cuba,Honduras,Nicaragua,Brazil,Columbia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Fiji,Samoa,Tonga
Sawyer,0.19760973425694542,-0.10667919225191155,-0.18000619358985778,-0.33935394185485523,0.07120016542478355,0.10322783387997406,0.6019891826804664,0.5954983797004626,0.17763124735611996,0.5320630558578149,0.40260705204222064,0.2749052544515283,-0.2092209398763065,0.15965170334450496,0.1639099529085284,-0.13345534846371992,0.023681179826469098,0.08244450246886811,0.7514113051783542,0.3585221302465608,0.4828569240410201,0.04963486125285093,-0.031584228123451526,0.040406511131246194,-0.45627968117225587,-0.02464015465971259,0.01800950716034483,-0.4229974379534877,-0.41361591081916443,0.13030601737130892,-0.5479782068553889,-0.25621620309530696,0.1290414011175834,0.23115303379998686,0.0668131500517288,-0.00669804602134115,0.4736558177309853,-0.33764102319194267,0.426347149087269,0.7414115710173388,0.5280907187953076,0.405950044264362,0.24856148107366027,-0.2925511710942326,-0.23881502120853296,0.01315195501700617,0.12600573712502297,-0.666648646082418,-0.13663744725958893,0.12947941737636326,-0.13916917286468652,-0.04238931421329032,0.0471354586782589,-1.6040452159576952,-0.7776570737503029,-0.2047484898943396,0.3495211998572891,-0.10431299550160045,0.6660726609310138,0.028645100517360484,-0.22819694074353572,-0.4854830544691202,-0.08287191669460924,-0.30010831808717364,-0.571293185442919,0.027543275751610682,-0.6158783519274876,-0.07465109201705346,0.7979006684161167,0.21654509078056783,0.32949745354591126,0.1962035574899628,-0.37137208450118414,0.35791234834847757,0.05327592197641907,-0.25302782438465105,-0.4782847366800763,0.05039429874046335,0.12327224989507173,0.003622776076366215,-0.2633419154314762,0.08661768339833774,-0.12412561376073926,-0.15117850172947167,0.12519347985578128,0.2528538536150391,-0.21163709964844368,-0.4819561429677565,-0.03249174457420928,-0.2497010125881902,-0.6531270182323207,-0.2844178854042561,-0.05787974278266017,-0.0893162934181816,0.16133619317549028,0.3444225978332976,0.4745047644928995,-0.7380686339609135,-0.02512194766432698,0.17373145765787254,0.34596166901137715,0.5247216392127285,0.042805101227794164,0.19173182275249778,-0.5521355300641417,-0.19045585598982673,0.39629643991932817,0.012445540099347754,0.6691401038397417,0.4692506408825663,-0.23289865177534386,0.3998891366083225,0.17595149284018785,0.039090212062940444,-0.6326603955490778,0.653867801815592,0.981283601192096,0.27947960901512586,0.3450303036317605,0.2700177892715612,0.12645561124763088,0.0018360021377900326,-0.1803501845492112,0.5134108980851646,0.13624311944336384,-0.4035446444175234,-0.12867649033321035,0.24747843416320792,0.3738343135467174,0.11217994097863872,-0.13615627102427677,-0.4496080333573195,0.2475040735719357,-0.5716534226790224,-0.035752156752125,-1.0341860367542062,0.2971427120630689,-0.4788864599132901,-0.21488884157050822,-0.23613398147446615,-0.1948310508706214,-0.6477527463715217,-0.16137310591400109,-0.00969171974175286,-0.40725940559587076,-0.06020292006288111,-0.22211374626939212,-0.5334290642474321,-0.29993859678157464
Vera,0.42197785248175435,0.1330517256353117,0.39314230905784037,0.21594177057514344,0.28717644402838455,0.9779984986087463,0.9522283536348292,0.5907823137005417,1.278767524997179,0.8787949622780565,1.3918461561080024,0.5287883944025394,-0.41216976527669513,0.6078729605188943,0.20115321251168675,1.0215227833977842,1.2634365067349442,1.2698451621473936,0.5564286850073222,1.0435820635271231,0.835333721616791,0.08632761357240841,-0.2066402712883393,1.1343621928932497,-0.1675840310248374,0.8478045411925946,-0.14001024198480255,0.013737484784262812,-0.3607322272640074,-0.5112198142540065,0.015126320210356693,0.9047525518873003,0.1847119569047754,-0.3679006888235488,0.3490990535820272,0.30526533946334733,1.5900120962311617,-0.15601396760494227,0.48951749119644206,1.033736151171173,1.3097087062109714,0.18591256246924545,1.3361475291438991,-0.7300980184245661,0.8439360762633553,0.6813044102551233,1.4434672510442716,-0.5592127027079618,0.8768798210097032,-0.04980283952540025,0.4236799964652575,0.6655339062259104,0.0498510086640999,-0.09318899007258775,0.9820107075318273,0.9547795380979489,0.3153868474010038,0.3068731051942066,1.2344789524395803,1.0825313942953259,-0.5644151265843665,0.2369488853263487,0.9360462541129535,0.5819540664975505,-0.21612437422140493,-0.1584282548624692,0.06316123983593068,0.7581916107005596,-0.19894577181331166,0.370255182482033,0.9821066316087713,1.391269165062122,0.5684926846841706,0.9646926194206711,0.39742017435703025,-0.3917688457774096,-0.2907836213837648,-0.12125388195324406,-0.08659298340522774,0.4512042699911615,0.5044784606660854,1.133098307851639,-0.6066076877094879,0.6037390657078937,-0.1254034205070916,1.1487470215404993,0.5909960758170176,-0.3753437451553127,0.4624781729415331,0.4636924168780303,-0.44238596103915967,-0.22912891593208518,0.8366059657757574,0.12148111291767022,-0.3169309279123633,0.9187736696976883,0.9891097347749022,0.7371642365790457,-0.054286296886592464,-0.17520362600313608,0.7723365519079434,0.35329427541422265,-0.15049539249780033,0.03730079642642841,-0.496977756946826,-0.2314369006836767,0.3815980672259906,-0.1763049841779209,-0.06006299074645453,-0.3192799882498166,-0.561221760100469,-0.2778433678038854,-0.6060178902069552,-0.24149690895028642,-0.8524895081473945,-0.1810338155228358,0.3896711701928815,0.4284519187468289,0.28610892410708144,0.45818274146698573,0.13919973485654266,0.25700676843803844,0.588923873137128,0.9813368282719932,0.4880930003075194,0.5284749428957929,-0.15988672007679114,1.0539028405236306,1.0297213507391594,0.21382502626865166,0.5468375191019704,-0.100973792729229,0.6154609418938348,0.18311976181539114,0.3829705825309008,-0.5800419169462087,0.1896452252248363,0.012042242008447513,0.46206311105320774,0.2768822905908944,0.44111496564670505,0.08786387211878155,0.4564563779632053,0.5906541773114351,0.3316043191602522,-0.0858427255635843,0.19068049195399683,0.045652680846952176,0.12861690414108978
Beatrice,-0.15028922652078136,-0.41136139753498535,-0.1542064528232646,-0.35632221808907594,-0.010269178043636867,-0.17821027247111215,-0.35233845167224837,-0.5409734095741743,-0.2022703773522146,-0.37060165427767927,-0.07400245440712791,-0.02017960659633847,-0.657383268271539,-0.3007235494846778,-0.6754057411352309,-0.5352844396247228,-0.008957534411717595,-0.4559575652527824,0.3401629627419509,-0.49645378524377776,-0.3871869393053877,-0.125170004838259,-0.46704116151333824,-0.12479902979786625,-0.656140579606622,0.12207401031581672,-0.34085830995538907,-0.39838643874774776,-0.5549973019652615,-0.3726950039011847,-0.0681980157505376,-0.0388672041630961,-0.27979048658835953,-0.511199129201351,-0.3743217645730992,-0.5168084332248056,-0.8480684521835833,-0.8873540052811607,-0.3215271763053248,-0.70878511397106,-0.6908866231952123,0.048370426968200875,-0.3026381347485046,-0.4161851032419659,-0.182893721677838,-0.34808465657453447,-0.08329135039558964,-0.4912165054951182,-0.2684913429474658,-0.5879889305534282,0.24770721703269613,0.006344224749911468,0.0287834869738287,-0.4919757528986934,-0.2723284652049883,-0.5275166467204986,-0.5432502043353664,-0.3466468725429646,0.10336177248898733,0.4224487511731795,-0.20301720720100427,-0.3735254638081704,-0.09890766120331142,-0.17486739781641167,0.41460555201688076,-0.5917887879461736,-0.2450626059475636,0.14455125669373944,-0.09305046574031402,-0.50575679831878,-0.4815753461118074,-0.42452399060151397,-0.23595338888332656,-0.37856020866382917,0.2568646163893195,-0.8772533511524074,-0.11999582608553243,-0.10205647705945105,-0.5670511192322611,-0.2755224561773338,0.43063842897745613,0.18026999919478817,-0.5921523638357101,-0.1884647883584472,-0.3788921865963632,-0.2394020297565362,0.24931770947609097,-0.38882102855742945,-0.005933126420792283,0.4347794454829807,-0.3439364187603325,-0.4407957750220905,-0.2807506119671417,-0.19757987809397384,-0.7268585900618196,-0.12012115048792993,0.07577375213507954,0.041497918629386156,-0.38083796366072814,-0.9011799045841237,-0.04203384424588401,-0.025832426768107163,0.34254661039535406,-0.4274772449537576,-0.8479577960333188,-0.8020247286719318,-0.3643337706523143,-0.4011040209595017,0.1512691524943977,0.23979069385377658,-0.6591415419266864,-0.19962926409254977,0.3843079768772879,-0.642376787567664,-0.6464673233738425,0.0572215998077702,-0.03845138214289279,-0.5761156276235178,-0.6681201562219143,-0.5141745785091318,-0.2309430618825564,-0.03624114792831415,-0.395402221282521,-0.5166137545870384,-0.3301930047248423,-0.5981723463536494,-0.8062306141296961,-0.10882193618778725,0.06888056357831654,-0.6456269133768934,-0.17824443419673117,-0.3144273219596646,-0.2812718772357641,-0.5469251931258455,-0.5240933128537678,-0.2878972731000733,-0.38182998778988075,-0.17483689120934087,-0.4531082233428454,-0.14483386351362196,-0.30862439153409654,-0.38104573691116395,0.15707029861052924,0.5761740448317387,0.07860801983218609,-0.31015112312997994,-0.550672436699368,-0.6303978088349941,-0.7518533594693936
Jace,0.0553420031456843,-0.4896476895756243,-0.20525083077373962,-0.04889371992457393,-0.6884890586212686,0.40934126593603387,0.11449615808219245,0.10218492311440713,-0.12724344650538963,0.19391654782963494,0.0987554952208646,-0.048641724546808866,-0.6636366910762095,0.13854029984451657,-0.30168750049645493,-0.3822436656396738,-0.4047772961681256,0.5272460374135735,0.33695115118167857,0.34835662623960806,0.005029511396283137,0.29041430229422727,-0.44251036509786446,0.09388068110022499,-0.08751517791042429,0.2936403494148067,-0.5517518358709776,-0.15282545278654808,-0.41985874409594676,-0.1033842450586703,-1.1234412226017108,-0.47689682888496315,-0.017030413242888006,-0.5626263153217923,-0.07776955895446719,0.04240671909943589,0.342764273555669,-0.3785834494419943,-0.514799832629994,0.39029217302370117,0.44586543986921034,-0.23064516027600307,0.09029134150855114,-0.6782444608969924,-0.3845337917283223,-0.0761615165954283,-0.18841935077363878,-0.7977298845991253,-0.16192788448913295,-0.557357426225388,-1.016753995805517,-0.5767648154953312,-0.2516368366779896,-0.18412957880645636,-0.17895564441364772,0.2214116432547467,0.18723635307907113,0.31229206665384057,0.390303031960908,-0.22844061612394886,-0.7172907628992239,-0.5620446820883719,0.12354625338673988,-0.2353441941175819,-0.6096524286417262,-0.24855861576012314,-0.7564022546393157,-0.46066952795993504,0.21047377931189298,0.003199398189560586,0.12739193672644075,0.0629912237731073,-0.4939251930445481,-0.013524120085264728,-0.21135276535247383,0.05746258660229815,-0.7759230812022297,-0.26677516613720365,-0.17230574566533569,-0.16045862551870643,-0.19384672139745374,-0.08784871657414987,-0.0002282245705309707,0.05944493923184565,-0.07245007099560916,0.8603636965888252,-0.7146122391339522,-0.7958294730358578,-0.3681886017835815,-0.11850506363312456,-1.0779352683422936,-0.3228003388406176,-0.2961472750023372,-0.45390425441862564,-0.2732061965642092,0.5201868667933905,0.2791970741049322,0.44813706752841015,-0.5624782415500477,0.24664523776242206,1.0177949326179507,0.7561245788297334,0.46717454156744936,0.4805181107873274,0.0810124932265414,0.022230533143239875,0.7583615462628859,0.14385341708964347,0.49506964605011194,0.05333122010212734,0.0055873200891667744,-0.008435613990976466,-0.42396362068037585,0.32305626652669633,-0.47993535015066785,0.16292714654351634,0.5437964348389088,0.47940288087209765,0.2645278812352369,0.5113748666823199,0.20515649679636097,0.46625427903095296,0.3634934990145088,0.715606729833562,0.5518269430039874,0.5087393813668476,0.1323209727868783,0.9274873160996376,0.6372636139665578,-0.014295905914791275,0.17948249860706494,-0.14780922619072245,0.35907786415409193,-0.015278218726127897,0.07206803035091171,-0.6914733546990173,0.10452201162885044,0.06989644321882546,0.06650087549151631,-0.22981356439191059,-0.030790738177378662,-0.31834320453316517,-0.07560599256100069,0.15736379775876508,-0.058244275085367975,0.13047411323510455,0.4858077091530938,0.7041373682152804,0.32107492667134147
Clarence,-0.06709801819502247,0.24531087807120927,-0.10143717277255608,-0.09758666306569101,0.43630168363771155,-0.08764439362366494,0.31272529286242917,0.12614504210797015,0.2975887349738405,0.4419957191195676,-0.17418515806168122,0.1717061872089265,-0.262995205127784,-0.11243797715526914,0.0688580202681413,0.27687828699612066,-0.16509909405967432,-0.1563992819231349,0.24755529965157308,0.1316855732642393,0.04030834882488625,-0.648415994143557,-0.14105550951773416,-0.4438728049756277,0.1806034562530855,-0.23147750338455114,0.16089162333498794,-0.03230129627736626,-0.3504567299789631,-0.18645680552138905,-0.2786550120154249,0.1335325018004635,-0.08777551339516663,-0.26345573887040274,0.09621403353075757,0.045555227110573394,0.2105819283165813,-0.42614362698644215,0.5455253351813669,-0.05168878137997867,-0.0603133336407264,0.460164925303329,0.27289438343875466,-0.23031021844903943,-0.01943739294202749,-0.20916833400809987,-0.11937053305340091,-0.4229461402484431,0.21102017421011746,-0.44621071701498005,0.12254838308110477,0.30425251563472944,0.04098900601882532,0.0005710383508258364,-0.09801269427109081,0.18416564542751251,0.042513990296038376,0.2866278485842438,-0.03166247445239844,0.30264798326054737,-0.027051218782466396,0.20020151690026966,0.015950319422445278,0.10129599217362978,0.03406086177941693,-0.21556103885445332,-0.02817970954144278,0.4001833294477222,0.26196497416806047,-0.04373829991865252,-0.19451176969347098,-0.13460973596518613,-0.014255612021709826,0.2554748013854819,0.05923577610569886,-0.045145908993191784,-0.22561935011319914,0.16485695794054717,-0.08480110780551987,-0.14236092648927345,-0.043262030250154106,0.3734719638533506,-0.4242648786546527,0.20945433536919938,0.3253883563626918,-0.5700386018330881,0.11699319194698661,-0.3485509296011605,0.2368906611953728,-0.24728187408848568,-0.46247133437136373,-0.4750092990816821,0.17984027376508294,0.21547363139306241,-0.07167004076549682,-0.170229654714041,-0.3522052405438355,-0.8749329699930875,-0.3501667995641724,-1.5212655810373008,-0.8808973866516255,-0.6998040531977494,-1.3165194252368502,-0.9185071447866939,-1.0573111074134365,-1.1262405187912425,-1.1371609506829696,-1.4256165432206305,-0.9214275277281142,-0.8865257694273028,-1.4743325403282226,-0.8030983849039975,-1.1390551752519171,-1.2009523844939871,-1.7806948127287294,-0.5603731248089999,-1.2939005507347034,-0.8420623458123012,-1.2349205479408563,-0.7180891995172438,-0.4984740930709232,-0.6925510432890261,-0.4865433527035139,-1.196241062132649,-1.0373255534246135,-1.8579515500969614,-1.2225935376322805,-0.5985618338304366,-0.2253893704781153,-0.16149254686666084,-0.6054655213410605,-0.6500809520055324,-0.183655163673974,-0.8552436367899077,-0.9132450021707046,-1.6651824170672658,-0.23839336958420707,-1.3725747716642422,-0.9385481475369746,-1.2741527286752812,-1.0754032259271171,-0.9654384720142082,-1.145893805707824,-0.882621003039178,-1.0889053893167093,-0.20374212372911513,-1.4491073937244832,-1.471591640777151,-1.5856372330313713
Allison,0.7378433415871055,0.5974674108526439,0.3154584045382545,0.3477854831491852,0.7220897991645272,0.6234937142719442,0.3180316998850851,0.9314230466338781,0.04057246678859604,0.27647869970727434,0.7153474785067154,0.609384011394574,0.012597122568859247,0.20430988239761882,0.6572563764093253,-0.22268184441659478,1.058277797839629,0.027575239102827304,0.2031422654164786,0.17320490282103934,0.976179919486844,0.8099890676181929,0.6375590115096769,0.44972971806222845,0.43891134325379955,0.7020945591521471,0.5132918945894376,-0.105829474019075,0.45459689400831965,0.30697540256513584,0.4182147393484578,0.34848147294477777,0.6528598136687906,0.8228133374713799,0.5397711074068995,0.39940649292413816,0.2603421067823311,0.31677808291668874,-0.1749838560127176,0.5256602138919674,-0.03477365097741838,1.1189123643781373,0.49541953919121645,0.7714273791515501,0.4097174653291298,0.9386472117816038,0.5560572101914504,0.47459580504645005,0.18688043177917657,0.4014334292518264,-0.14381792000388993,0.4093285621023463,0.7148792043663605,-0.6739608590074533,-0.1490144387496502,-0.4704507927657563,0.8615691542533942,0.31578604850578085,0.7941961454895011,0.7390248215422265,0.779848166032566,0.20700668686511853,0.295385493472007,0.4803356161494569,-0.35737105643594475,0.6500091156303758,-0.20529815553348768,0.5756834843473115,1.0240253621505635,0.6524092331065783,0.21134283548588692,-0.5681016524246338,-0.1804419774709664,-0.049529030466208844,0.6323196636652239,0.46825608029019805,0.4410548178536433,0.56296086120298,0.7809935682347875,0.48910818054103156,0.047736913233440884,0.6266102126848638,0.5862720910164034,0.4074345599753976,0.34682487886390084,-0.6606062427861661,0.03388807962595693,0.5165843336307036,0.6297184997307749,0.4728740457334892,0.5089022208828401,0.21968224794636587,-0.017346006314109888,0.6059381998897081,0.6102190400816054,0.419468246930758,1.2432755195281504,-0.8391545680848946,0.4778556926619038,-0.16647956024431237,0.14238718900625214,0.5106462119739862,0.218318478189555,0.2750290882515004,-0.3766981798663668,-0.1479149337004289,0.6942446287413673,0.10210773508572822,0.6590115224693716,0.2692850519687098,-0.7426236188436289,0.2127611881294533,-0.6655816542412512,-0.16688233993850585,-1.5306402830404227,-0.3399171299472686,0.19673694964735924,-0.07819452941504283,0.10575169504429678,0.38139681457439967,0.3312871446733939,-0.0488889781626088,0.09995457321940068,0.01323084895451356,-0.2841887395575547,-0.9401566480581972,-0.4461164662128205,0.34716619555368033,0.2188260318362125,0.404467873702105,-0.6228465480343971,-1.1139052215597982,-0.41096398996757194,-1.0354786841736037,-0.8715244827643681,-0.8095796929869251,0.47065678857315385,0.3562797163878354,-0.06058270113551522,-0.40461225974953485,0.10694665859345352,-0.46702134950125684,0.40806042741651066,-0.24450616149483984,-0.5230034379481587,0.3027331859739108,-0.052143539205750204,-0.896660909071471,-0.22787202278410731
Amber,-0.012031489650512052,-0.4298614446006138,-0.35577678863028417,-0.3199827512451048,-0.003913000174020354,0.555415134517775,-0.062068579620465435,0.9952841428668232,0.014508056025822242,0.42975050178586105,1.3517234509748421,0.25444768420940644,-1.291739658589909,0.03745310318710431,-0.07489950635606415,-0.7022455853628604,0.7641570525013565,-0.08158793584005207,0.000754133286103472,0.32178719490899216,0.7109553602550075,0.18282101797516206,-0.24959012591771645,0.5813837009464141,-0.5878649812177827,0.8182293386111729,-0.23618235919498154,-0.5543398241746642,-0.6351301301432811,0.27486001177259406,-0.9819055133503828,-0.4518091685470038,-0.41652103336540597,-0.4389166566386999,-0.2407404549291359,-0.1342210684362312,0.3255312454586808,-0.9056350390912138,-1.0177441248724162,0.576533314527265,0.6506860818836128,0.7744615549358594,0.5441834083156943,-0.5507626981569266,0.3066217215780822,0.5447087984466306,0.6553451483047538,-1.2110427126152463,0.1989287528675499,-0.9102338303514139,-0.6890515879932257,-0.35437345641446594,-0.07977674148048111,-1.1529542939050523,-0.9547890136549615,-0.37353022304486017,0.12830211803211822,0.06801700477282772,1.057464066744525,0.6637374790213105,-0.44876227615117625,-0.5833736700782551,-0.08082380706693756,-0.1446578219238102,-0.9110682965241438,-0.356428489144838,-1.2367875557678332,-0.26675469984925115,0.256664074844844,0.26358326620611416,0.2666720243427328,-0.021287423793885752,-1.0134783262040739,0.04407350350412109,-0.30467197185998546,-0.10772624814706593,-0.784215444463538,0.1412859797573643,0.21625115377075055,-0.5400786738621676,-0.19395718951038615,0.68407417745766,0.18165833066753595,0.020106615928423444,-0.20931778548264382,0.1416257272911805,-0.055807454424471985,-0.8120271229974383,-0.538885509266632,0.031589243496708275,-0.849388476824085,-0.6999007261766098,-0.15338413955978197,-0.302709590411727,-0.22330030136188586,1.0335917884781516,1.4944698328712736,0.34292090645986817,-0.729280723609162,-0.9575965840344302,0.11254278681205872,0.6864533953819361,0.5292950546090928,-0.4076361775422642,-1.298077389549808,-0.8541808902104153,-0.0981752362982732,-0.6370221238477016,0.9630868323807871,0.3439815486645456,-0.5919203185735391,-0.8595892070273231,-1.1385353023219498,-0.23190373031043202,-1.291217599577429,0.2731943472627414,-0.5114700296399194,-0.16762182803749803,0.7431750251439143,-0.2554948985982826,-0.01817112549967898,-0.014295363593103481,-0.003874713047982874,-0.0893206595589845,-0.747872725535758,-0.736165962939998,-1.0170346222320055,0.03273654918412777,0.6243082496818007,-0.028782530094100353,-0.06998178271659548,-0.7665511370809017,0.09907027639035405,-0.8203875380064276,-0.4829662582241092,-0.7848199481731275,-0.2649161695590957,-1.0496774271154783,0.19038954636067043,-0.8646082560662419,0.07155980439349373,-0.33727918331944107,0.3165607222593533,-0.32408940586278756,-0.7677651552274013,0.44631933464765006,0.005027771288345943,-0.8852539613294861,-0.260150020201521
Brooke,0.2554078640198498,0.060863708862011645,-0.1900044312342754,-0.06066387800271357,0.2568688537496018,0.2690964789743586,0.037777555088284856,0.735231796349044,-0.11727748700601366,0.19197756203888003,0.41080233427581564,0.30743210513912944,-0.34833133215731454,0.12526839179875637,0.2769711193373116,-0.24965718139842838,0.7824898665868114,-0.19986430978889702,0.25403367470923577,-0.07332315553077869,0.2831136255228891,0.4899802137842501,0.0850160192586324,0.21874016198461538,-0.20458840424856253,0.5863271868362232,0.16597481046459228,-0.28800706952416344,0.07464509897436936,0.3312133822262536,-0.04335853473608384,-0.09169641839279802,-0.24285211421764644,0.22440023267973022,0.011684340119058091,-0.03809491069502763,0.2312859326968353,-0.326965824440381,0.020779905841165843,0.12457770096321238,0.1198198300912897,0.38995595855227494,0.42908255996540834,0.07224216250506582,0.24124296524682753,0.8706512611758156,0.33558924204488755,0.042733904600217004,0.13149555243438177,-0.23018494384382737,-0.7271224015083115,-0.006472162021278717,0.28068227071662316,-1.140629375078389,-0.6418304137343049,-0.6930672617752852,0.26809755957625836,0.06334346485047464,0.6157399596866963,0.6093376099799809,0.366313713686567,-0.22021056636605063,-0.02845463872934442,0.29788127506340756,-0.5983485649259122,0.28550859864095973,-0.4869387748978291,0.07128255412578274,0.42223009910628667,0.3566470930647872,0.05108323588578791,-0.5768087032185736,-0.3915101869216106,-0.34024865752537126,0.05970529470243948,-0.04920077967815819,-0.05213963848688352,0.17036465425512584,0.3460620939211233,-0.11984232733959228,-0.500777758561402,0.31162360428031594,0.3572426227793726,0.16260218699760368,0.13706982777392404,0.07113833095102085,0.19246634793225997,0.11031102731945876,0.3085806287741349,-0.06360253245705443,-0.026792658839894217,-0.5725097622275062,-0.303504313356943,0.37072340309581653,0.13766299200190923,0.18855742442731077,0.8404402403021098,-0.32195917023711984,-0.1818590038087072,-0.041070114550974084,0.37770421036380464,0.15443289083796538,-0.026266475944975477,-1.9409083093649735e-05,-0.24986618139714042,-0.13922341098073804,0.24397022135014235,-0.3636031105448927,0.07223927147747954,-0.20582250196996124,-0.629271917157475,-0.1879578277326182,-0.5399805873608091,-0.24313909677235068,-0.9402408861350423,0.16724437734682904,0.1053028854515934,0.23381803451896757,-0.014822859601740295,0.549273676079891,0.12254976792996145,0.20123136737513164,0.03241733712956207,0.6304606277926131,0.37456737073987206,-0.060819725371597404,0.09203252378944854,0.8478599768695014,0.43579029388150464,0.3821169851355861,-0.20922624402568998,-0.4713244604979943,0.19462864707783908,-0.4417451663699832,-0.2374045461919228,-1.0782255703208028,0.4668816377746787,-0.4451898616879272,-0.10307673016703908,-0.3820392412377272,0.039023388814199436,-0.6456786187907791,-0.23845451105226426,0.03462185848031286,-0.11926767163606425,0.1961499916821526,-0.07777268317785932,-0.005097584496421248,-0.050314099508101576
Diana,0.3864154842987902,0.18257776834873188,0.15068976876970833,-0.19270684104726943,-0.09272175405550445,-0.1431262973207786,0.30679729527980565,-0.16886813852892998,0.2831208020706039,-0.02188488845288703,0.32030373716153554,0.11504165289718447,-0.3566494562599679,0.052943146756879784,-0.06989971666812969,0.24794931862744474,0.5899581118537556,-0.003933784693856383,0.22707561725306913,0.2242461831811481,0.0603188362930415,-0.2264915799683804,-0.2187377173990375,0.0015374964860047585,-0.21024548216169814,0.3588048900453397,-0.2663252796040833,-0.3871803036719013,-0.10688110781692682,-0.4573812296825332,-0.13020143965023157,0.1585914975775158,-0.03344471608447314,-0.08124394691421756,-0.08562498925153594,0.11331964121262365,-0.08937982041009553,-0.815608285816279,0.35104274312344147,0.25554353300278226,0.2200041184655703,0.314085610665059,0.21984170792937902,-0.2421529405321623,0.1586839163265404,-0.08506200037364274,0.3475870823133122,-0.6004040749913901,0.25620041339517335,-0.4601597283641243,-0.37895818390237507,-0.12981181508830172,-0.01401543745047085,0.15187013970979488,0.616008706209745,0.07467424854739309,0.04780855219112483,0.18157680404935914,0.5200862262728568,0.28128860110198545,-0.3594077846574837,-0.22126441298410854,0.03306706001168399,0.007307789716013852,0.2075174159789286,-0.25288031573653674,-0.1616683774709557,0.08940476121545413,0.2507495861819871,-0.09732914919436182,-0.050474604026551344,0.08240477564152036,0.2657629213974374,-0.1630005163249227,-0.09157027937947819,-0.2404680385645352,-0.2415123042365736,-0.09246511696550376,0.06400778033594892,-0.005843732946873233,0.012315847821880116,0.6038485137176056,-0.31182008854805465,0.18963420279729354,0.059407432449745744,0.46553120377096774,-0.17647338188063671,-0.46336952714325536,0.370007173389231,0.14943473940891477,-0.4291705975683077,-0.5083476238742981,0.14105716066461832,-0.05780887890948692,-0.33544276193177036,0.0739272672742997,0.20296331041745402,1.0412759549298078,-0.4583280940015022,0.2270330668170341,1.2889417493294768,1.1858351250286505,0.5142485946420569,0.6757843077965214,-0.28160273601664026,0.1329426416233222,1.1541260775982871,0.2189681069018512,0.26118316825652943,-0.06452704265297679,-0.388002535965372,-0.41992355811965043,-0.8902130231599077,-0.26158843902073103,-0.6985636952895664,-0.005062846695753484,0.6282797906739999,0.8213873070575177,0.3807263992599857,0.07586626882077373,0.19698256997922392,0.46765410837583155,0.4683666704100351,1.0389699025584365,0.383589937433999,0.5776315687258945,-0.3865054440301901,0.6694918417566319,1.075780624183738,0.04901377478630237,0.4718972025627668,-0.08796020083085722,0.5385502581713889,0.05849148048023638,0.1468098823588184,-0.7599045497025289,0.04538782720037181,-0.30022042662872145,0.2747926604308988,-0.11672338811327677,0.06221743959626514,-0.153290554274335,0.11548541162404616,0.22805883142955538,-0.2784610941247042,-0.03364623129376098,0.009802480698820107,0.1382248293838056,0.28420086930962424
