index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,male,female,boy,girl,man,woman
Albert,-0.16464723541684306,0.07780113662817603,0.3602640287619112,-0.3638939835749056,-0.03730565907903727,-0.16896558628645497,-0.5421699347815925,-0.07075678980490238,-0.2519714993474216,-0.17518410943163118,-0.07762260612448067,-0.01714247251493706,0.30384383527758796,0.21340815034794183,-0.010870596302906425,0.03947885130810412,0.17326822954669785,0.30615001814172305,-2.2820207198917566,-3.6585765459918345,-1.0721569742875234,-2.6156121443619513,-0.9171028704228666,-2.749384119445095
Miranda,0.003136837615773922,-0.22531199197956145,-0.4115451568277708,0.16685331844021667,0.10841781829306582,0.1256838180557457,-0.23410619540783584,0.005002274473723104,0.07367350861291276,0.24591743750787132,0.05447094614746311,-0.10105104007042834,-0.030442470073462388,-0.016374164720042023,0.19178053416740165,0.03734043163878326,-0.10120225296657188,0.047748619825567676,-1.6922558876793143,-0.42581165075721494,-0.5214556095485972,1.6487035804788486,-1.312393674853087,0.435214467184572
Leo,-0.5247080528350989,-0.12221213106949362,-0.49980243125992213,0.030765969613562625,-0.7101546744694839,0.06275458324881854,0.19201738599313856,-0.20393499510443489,0.21753451915714414,0.049361836673028445,0.10847524655997282,0.09059938825324276,0.15657055207011322,-0.019646070409985155,0.3758531880120461,0.02780200979586981,-0.06500697725498308,0.33089478081049467,-1.069937102028073,-2.4365414131167915,0.3355490162023784,-1.1573652021328427,0.17937328602773786,-1.6774558695253379
Dominic,-0.1199504347014032,-0.38924786012699586,-0.6382888734939423,-0.09542525078150389,-1.0901298650765985,-0.3933036136476924,-0.09960862424392661,-0.6405643804189458,-0.20218777155920248,0.10154766457657188,0.14652299195976687,-0.24082145011387704,0.47105070174554275,-0.6356745538120323,0.1290120649638048,-0.2467380226670687,0.09054914717476316,0.5476957751361655,-1.203622866464045,-2.652647451919677,-0.3101101142351542,-1.9723283028267133,-0.8237590679839807,-2.4586941195481735
Vera,-0.25690477802315365,0.5567597896043647,0.804475257970761,0.06166685902265268,0.12713260237610807,0.08164919655842823,-0.18898764061546655,0.1900446444111032,0.08051631742891552,-0.21436123535049878,0.0035987121657098733,-0.223287197224877,0.2516421165514359,0.37035247091805656,0.33350552053404997,0.13894524076680806,0.01778003476718932,0.3188273649111831,-1.9753250444303765,-0.6045903004474046,-1.5872553422322762,0.8090702167568476,-1.640608254771739,0.4004944425915295
Adam,-0.40417859189607314,0.1172113171381734,-0.33680921539524095,-0.00576414992644153,-0.27574723382264643,-0.10901210032737857,0.47760814412289077,-0.14406028821512173,-0.08441059070091537,0.027228670224165537,-0.15459841466741048,0.1535200672744567,0.0437847163306642,-0.08551867473077622,0.19853529722540184,-0.2716956646757994,-0.07621414576275852,-0.06944840445505329,-0.4267577664486083,-1.4471476737427524,1.5058890718461517,0.43894200002256617,1.0653381963957305,-0.6032013861257912
Bryce,-0.3103166392615488,-0.18555513456390335,-0.5177445406528479,0.01445251104966473,-0.35952460457198293,0.19442867756567106,0.6241517004479328,-0.27852462832811997,0.09008507389167716,0.2800309002566525,0.007036520598820735,-0.04277203030111733,-0.2924733780786248,-0.08270538374333275,0.41843562503146187,-0.12788099317928073,-0.031145154312281428,0.01406722628505441,-1.2226509769148959,-2.2764566930484893,0.014457705109882105,-1.0206218579944117,-0.7573957728518224,-1.9332070673498762
Lucas,0.21554778467893446,-0.20915744731144686,-0.368929015346956,0.27003351274666315,-0.23113546126924617,0.25982605104962697,0.1630285086931351,-0.31390390316670425,-0.17268721312229024,-0.09872856494008853,-0.4593064813540301,-0.24452986075960603,-0.05143310426351692,0.00998445894518723,-0.03701616439820512,-0.21269511936671862,-0.45788980691207426,0.051551016088422816,-0.9538797603465853,-1.9690932454298131,0.623961941553073,-0.28948932471867883,0.09329840301020316,-1.3225422797114048
Annie,-0.2704918342181565,0.18529597758588467,0.4239383905509518,0.19046900124311503,0.2916471492469463,-0.003996701005154915,-0.603764612721863,0.29771112851554704,0.2261525459390534,-0.15923241522831755,-0.0030447310575866895,-0.13596678512435648,0.04995991821282081,0.4263594662583459,0.041106235887390624,0.15836495156964675,0.3421470477540806,0.49626038047412263,-3.083448613731738,-1.1369147780715683,-0.8173667097365124,1.9352705906857128,-1.2124997864091829,1.1196764731276827
Cindy,0.09111347128696426,0.40429657607439196,0.17388579842980306,0.04582529143150797,0.3380129829197811,0.3358778829245215,-0.3224463977981358,0.33780741045830687,0.309707936411343,-0.18046077196135848,-0.18058647055470672,0.009999777774947129,-0.21052078879093358,0.035022462181258415,0.05123945103371367,0.06557474150500289,-0.144236737524023,-0.30404104020112965,-3.3373474257898557,-0.8842551880053896,-1.7545017059894648,1.6410366099643838,-2.163405411029491,0.8243065500049712
