,beverage,age,direct_correlation,indirect_correlation,same_correlation
0,water,1,0.350059850575325,0.12995795190757678,True
1,water,2,0.42013224802962895,0.1715894141404161,True
2,water,3,0.4515275801364732,0.15462847879443087,True
3,water,4,0.4561152136521676,0.1333582323882876,True
4,water,5,0.4367012350964032,0.1236721738078214,True
5,water,6,0.5507037974055741,0.08273681588357967,True
6,water,7,0.3918911552974601,0.09824007815925888,True
7,water,8,0.3993226452769535,0.07653079624003763,True
8,water,9,0.31453243286866484,0.05651739254831956,True
9,water,10,0.28262382744674003,0.04921501381902453,True
10,water,11,0.1936990725454829,-0.01150256882216407,False
11,water,12,0.20978635610836788,0.0017223407225833466,True
12,water,13,0.1385096833247787,-0.006014092585755649,False
13,water,14,0.0938819042735158,-0.035841152157938726,False
14,water,15,0.06458623842507058,-0.03280479471400777,False
15,water,16,0.09905944195664047,-0.07640144657409771,False
16,water,17,0.02035103964487124,-0.08177619045334042,False
17,water,18,-0.015046121779268775,-0.103462779053339,True
18,water,19,-0.04344564159191746,-0.1263787631165621,True
19,water,20,0.015697396033071163,-0.1091315921310722,False
20,water,21,-0.1533428212884167,-0.1672302071043139,True
21,water,22,-0.053819464417324485,-0.15056704500642235,True
22,water,23,-0.09766723554686546,-0.16290076669427533,True
23,water,24,-0.13301783298573727,-0.15316216583920028,True
24,water,25,-0.10122632442019976,-0.14600164026077506,True
25,water,26,-0.12839578504022384,-0.15616027227386572,True
26,water,27,-0.13227346542751398,-0.14459110526076965,True
27,water,28,-0.16380635657902007,-0.1733119840907065,True
28,water,29,-0.14181723114035874,-0.1513819841892379,True
29,water,30,-0.11807969676176296,-0.1016355061938773,True
30,water,31,-0.15896346824828694,-0.16445186048937033,True
31,water,32,-0.16061008916246858,-0.13414826347906425,True
32,water,33,-0.10107485600468198,-0.14468024588493594,True
33,water,34,-0.110866738188969,-0.12998697957660788,True
34,water,35,-0.16190572428193942,-0.14105656049792095,True
35,water,36,-0.10651403874536933,-0.11078016900530656,True
36,water,37,-0.1616726505792773,-0.10221718970427354,True
37,water,38,-0.09120685347710887,-0.08908444133041657,True
38,water,39,-0.0998578092822664,-0.13668608399927967,True
39,water,40,-0.14727917668455098,-0.04762088912365587,True
40,water,41,-0.1474226847607843,-0.12545298619716533,True
41,water,42,-0.08006078386380955,-0.08493187333810003,True
42,water,43,-0.14984443521319102,-0.12231166695289784,True
43,water,44,-0.09088269430898023,-0.0869279005537142,True
44,water,45,-0.1215251607726473,-0.10074873249079284,True
45,water,46,-0.013097199246860224,-0.08432976221982694,True
46,water,47,-0.1212190032196336,-0.0909542809936332,True
47,water,48,-0.11615520531918408,-0.09216698481808376,True
48,water,49,-0.0924378486236309,-0.09851937101571334,True
